Zip,City,State,Latitude,Longitude
56174,Storden,MN,44.031366,-95.30674
56260,Maynard,MN,44.943885,-95.48031
56142,Ivanhoe,MN,44.476959,-96.23
55588,Monticello,MN,44.989512,-93.880245
56377,Sartell,MN,45.622966,-94.20959
56637,Talmoon,MN,47.611885,-93.83267
56055,Lake Crystal,MN,44.128212,-94.23883
56271,Murdock,MN,45.242264,-95.42422
56114,Avoca,MN,43.971169,-95.6128
55435,Minneapolis,MN,44.875614,-93.33487
56156,Luverne,MN,43.653947,-96.2303
56481,Verndale,MN,46.434002,-94.95748
55063,Pine City,MN,45.824236,-92.95813
56219,Browns Valley,MN,45.606998,-96.81833
55939,Harmony,MN,43.55123,-92.04994
56319,Carlos,MN,45.990781,-95.27033
56075,Northrop,MN,43.735594,-94.43584
56484,Walker,MN,47.099774,-94.53347
56164,Pipestone,MN,44.020814,-96.32473
56284,Renville,MN,44.783251,-95.20682
55603,Finland,MN,47.502703,-91.20122
55107,Saint Paul,MN,44.928315,-93.08876
55715,Buhl,MN,47.494762,-92.780293
55722,Coleraine,MN,47.285247,-93.43112
56227,Correll,MN,45.290863,-96.16888
56353,Milaca,MN,45.760191,-93.63247
56143,Jackson,MN,43.625811,-95.00447
56169,Russell,MN,44.319682,-95.98835
56267,Morris,MN,45.584124,-95.9092
56478,Nimrod,MN,46.605266,-94.900729
55331,Excelsior,MN,44.901368,-93.58278
55947,La Crescent,MN,43.829382,-91.33919
55164,Saint Paul,MN,44.990915,-93.106593
55184,Duluth,MN,46.837172,-92.202829
55355,Litchfield,MN,45.104473,-94.52868
55460,Minneapolis,MN,45.015914,-93.47188
56209,Atwater,MN,45.128657,-94.79069
56742,Oklee,MN,47.899103,-95.84846
55089,Welch,MN,44.586242,-92.70293
56623,Baudette,MN,48.663939,-94.54953
55026,Frontenac,MN,44.523212,-92.33216
56468,Nisswa,MN,46.501623,-94.28917
55808,Duluth,MN,46.674141,-92.2276
55389,Watkins,MN,45.291986,-94.43811
55931,Eitzen,MN,43.511822,-91.46635
56041,Hanska,MN,44.149047,-94.5238
55964,Plainview,MN,44.164431,-92.17048
56276,Odessa,MN,45.245844,-96.32641
56533,Elizabeth,MN,46.405807,-96.15831
55317,Chanhassen,MN,44.866236,-93.54487
55055,Newport,MN,44.871166,-93.00187
56676,Shevlin,MN,47.506665,-95.21527
55166,Saint Paul,MN,45.005902,-93.105869
56082,Saint Peter,MN,44.337276,-93.99282
55005,Bethel,MN,45.395494,-93.23584
56282,Raymond,MN,45.028945,-95.22418
55801,Duluth,MN,47.005566,-92.001934
55571,Maple Plain,MN,45.015914,-93.47188
55454,Minneapolis,MN,44.969465,-93.24327
56650,Kelliher,MN,47.997931,-94.55748
55763,Makinen,MN,47.310374,-92.20091
56178,Tyler,MN,44.274909,-96.12408
56251,Kandiyohi,MN,45.133103,-94.91976
55272,Kroschel,MN,46.147161,-93.084687
55337,Burnsville,MN,44.770297,-93.27302
55478,Minneapolis,MN,45.015914,-93.47188
55749,Holyoke,MN,46.463827,-92.40766
56287,Seaforth,MN,44.475845,-95.32579
55006,Braham,MN,45.722,-93.19781
55074,Shafer,MN,45.381784,-92.7278
55597,Loretto,MN,45.015914,-93.47188
55962,Peterson,MN,43.762272,-91.8453
56215,Benson,MN,45.317872,-95.57247
56047,Huntley,MN,43.738397,-94.228897
55585,Monticello,MN,45.200875,-93.888099
56360,Osakis,MN,45.884771,-95.10486
56538,Fergus Falls,MN,46.412413,-95.713452
56304,Saint Cloud,MN,45.547283,-94.11303
56511,Audubon,MN,46.863375,-95.99585
55007,Brook Park,MN,45.955831,-93.1044
55602,Brimson,MN,47.309443,-91.87839
56332,Garfield,MN,45.950306,-95.50754
55444,Minneapolis,MN,45.106065,-93.30461
55573,Young America,MN,45.015914,-93.47188
55721,Cohasset,MN,47.247648,-93.66491
56527,Deer Creek,MN,46.383585,-95.31644
55797,Wrenshall,MN,46.534005,-92.41983
56529,Dilworth,MN,46.878062,-96.70242
56629,Birchdale,MN,48.551313,-94.17684
56713,Argyle,MN,48.342579,-96.79448
56151,Lake Wilson,MN,44.015184,-95.91403
55396,Winthrop,MN,44.536882,-94.36811
56177,Trosky,MN,43.887295,-96.25132
55806,Duluth,MN,46.770773,-92.12718
56680,Spring Lake,MN,47.663689,-93.94631
55036,Henriette,MN,45.871294,-93.11852
56056,La Salle,MN,44.070204,-94.57143
55305,Hopkins,MN,44.953763,-93.43346
56436,Benedict,MN,47.143679,-94.68589
55405,Minneapolis,MN,44.971798,-93.30273
55587,Monticello,MN,45.200875,-93.888099
55902,Rochester,MN,43.991846,-92.49166
55969,Rollingstone,MN,44.079021,-91.84612
56223,Clarkfield,MN,44.761504,-95.8183
56162,Ormsby,MN,43.843264,-94.68446
56372,Saint Cloud,MN,45.52886,-94.593338
56679,South International Falls,MN,48.27888,-93.755536
55748,Hill City,MN,46.956138,-93.60042
56172,Slayton,MN,44.007631,-95.75803
56369,Rockville,MN,45.470635,-94.33862
55403,Minneapolis,MN,44.971765,-93.28557
55040,Isanti,MN,45.470239,-93.27947
55128,Saint Paul,MN,44.985792,-92.96532
56147,Kenneth,MN,43.750164,-96.06591
56446,Eagle Bend,MN,46.145445,-95.07071
56586,Underwood,MN,46.330985,-95.84679
55368,Norwood,MN,44.756883,-93.91666
56589,Waubun,MN,47.174775,-95.74517
55078,Stacy,MN,45.513447,-92.894239
56536,Felton,MN,47.050391,-96.53933
56651,Lengby,MN,47.465509,-95.64614
56208,Appleton,MN,45.228278,-96.00539
55376,Saint Michael,MN,45.20382,-93.67618
55786,Taconite,MN,47.314189,-93.38487
55608,Rosemount,MN,44.741484,-93.113155
56631,Bowstring,MN,47.087782,-93.921429
56663,Pennington,MN,47.464399,-94.44806
55121,Saint Paul,MN,44.844965,-93.14431
55334,Gaylord,MN,44.542729,-94.21773
56320,Cold Spring,MN,45.462728,-94.42511
56350,McGrath,MN,46.274325,-93.26096
56444,Deerwood,MN,46.438976,-93.89064
56672,Remer,MN,47.036967,-94.02951
56389,West Union,MN,45.799542,-95.08213
56475,Randall,MN,46.099545,-94.50864
55372,Prior Lake,MN,44.704646,-93.42139
55782,Soudan,MN,47.813694,-92.23977
55768,Mountain Iron,MN,47.502878,-92.66548
56239,Ghent,MN,44.515475,-95.89576
55728,Bigfork,MN,47.757041,-93.64059
55419,Minneapolis,MN,44.902414,-93.29012
56479,Staples,MN,46.380664,-94.80503
56385,Villard,MN,45.702767,-95.21433
55474,Minneapolis,MN,45.015914,-93.47188
55711,Brookston,MN,46.870672,-92.65082
56026,Ellendale,MN,43.884985,-93.2917
55087,Warsaw,MN,44.247889,-93.39305
55720,Cloquet,MN,46.727077,-92.48612
55963,Pine Island,MN,44.196932,-92.65482
56159,Mountain Lake,MN,43.942515,-94.93058
56701,Thief River Falls,MN,48.118625,-96.1793
55014,Circle Pines,MN,45.153516,-93.14463
55718,Carlton,MN,46.649697,-92.48477
55976,Stewartville,MN,43.862105,-92.49849
56006,Mankato,MN,44.056047,-94.069828
56292,Vesta,MN,44.501023,-95.45228
56594,Wolverton,MN,46.565562,-96.66702
55605,Grand Portage,MN,47.967442,-89.73735
55431,Minneapolis,MN,44.829564,-93.30982
55609,Knife River,MN,46.94939,-91.78525
56085,Sleepy Eye,MN,44.29717,-94.73426
55352,Jordan,MN,44.657463,-93.6133
55716,Calumet,MN,47.32211,-93.27581
56224,Clements,MN,44.375214,-95.06695
55407,Minneapolis,MN,44.934915,-93.25424
56176,Trimont,MN,43.771341,-94.72593
55415,Minneapolis,MN,44.973415,-93.25941
56442,Crosslake,MN,46.67066,-94.10686
55133,Saint Paul,MN,45.005902,-93.105869
55613,Schroeder,MN,47.651374,-90.95917
55105,Saint Paul,MN,44.934465,-93.16554
55409,Minneapolis,MN,44.924115,-93.28362
55559,Young America,MN,44.805487,-93.766524
56278,Ortonville,MN,45.335958,-96.40032
56288,Spicer,MN,45.238936,-94.95001
55446,Minneapolis,MN,45.039312,-93.47988
55752,Jacobson,MN,46.974237,-93.2632
56634,Clearbrook,MN,47.67265,-95.42809
55411,Minneapolis,MN,44.999165,-93.29823
55043,Lakeland,MN,44.9316,-92.77001
55111,Saint Paul,MN,44.882838,-93.200671
55957,Millville,MN,44.244633,-92.29074
56473,Pillager,MN,46.368605,-94.4846
55912,Austin,MN,43.671988,-92.97908
56643,Fleming,MN,46.631748,-93.515456
55750,Hoyt Lakes,MN,47.517269,-92.0706
55804,Duluth,MN,46.86242,-91.98342
56240,Graceville,MN,45.568463,-96.45916
55088,Webster,MN,44.541055,-93.38713
55358,Maple Lake,MN,45.244744,-94.00289
55945,Kellogg,MN,44.273406,-92.04934
55777,Virginia,MN,47.640367,-92.442797
55942,Homer,MN,44.019989,-91.68187
56576,Richville,MN,46.467527,-95.69675
56089,Twin Lakes,MN,43.563452,-93.42694
55307,Arlington,MN,44.613278,-94.10728
56065,Mapleton,MN,43.931415,-93.92866
56368,Richmond,MN,45.448703,-94.52597
56097,Wells,MN,43.731479,-93.71837
56741,Oak Island,MN,49.242285,-94.84003
56122,Chandler,MN,43.89707,-95.95855
56111,Alpha,MN,43.645226,-94.8715
55932,Elgin,MN,44.135053,-92.28314
55975,Spring Valley,MN,43.686356,-92.37242
55814,Duluth,MN,47.640367,-92.442797
55960,Oronoco,MN,44.152623,-92.53706
56382,Swanville,MN,45.904129,-94.62373
55968,Reads Landing,MN,44.340826,-92.282467
55145,Saint Paul,MN,45.005902,-93.105869
56575,Ponsford,MN,47.042394,-95.43451
55779,Saginaw,MN,46.908416,-92.44913
56657,Marcell,MN,47.578093,-93.62929
55113,Saint Paul,MN,45.011215,-93.15536
55583,Norwood,MN,44.805487,-93.766524
56566,Naytahwaush,MN,47.257131,-95.61749
56376,Saint Martin,MN,45.498506,-94.66271
56366,Bowstring,MN,47.572516,-93.899486
55731,Ely,MN,47.913365,-91.91712
56668,Ranier,MN,48.603143,-93.29771
56087,Springfield,MN,44.239384,-94.98313
55905,Rochester,MN,44.022513,-92.466826
55424,Minneapolis,MN,44.904414,-93.34045
55751,Iron,MN,47.405699,-92.63067
56285,Sacred Heart,MN,44.79624,-95.35045
56249,Holloway,MN,45.299531,-95.8996
56386,Wahkon,MN,46.114445,-93.51986
55732,Embarrass,MN,47.624206,-92.23909
56669,Ray,MN,48.443118,-93.14296
55738,Forbes,MN,47.296271,-92.65485
55324,Darwin,MN,45.057766,-94.40368
55398,Zimmerman,MN,45.455085,-93.57873
56029,Emmons,MN,43.516115,-93.51768
56619,Bemidji,MN,47.625699,-94.822154
55075,South Saint Paul,MN,44.887966,-93.04546
55031,Hampton,MN,44.607553,-92.98548
55316,Champlin,MN,45.170714,-93.38452
55479,Minneapolis,MN,45.015914,-93.47188
56431,Aitkin,MN,46.507241,-93.66458
56373,Royalton,MN,45.840565,-94.26434
55615,Tofte,MN,47.677189,-90.81276
55946,Kenyon,MN,44.268145,-92.9651
56574,Perley,MN,47.197932,-96.72953
55601,Beaver Bay,MN,47.258584,-91.29977
55607,Isabella,MN,47.664633,-91.52953
55083,Stillwater,MN,45.021016,-92.983726
55593,Maple Plain,MN,45.015914,-93.47188
56568,Nielsville,MN,47.53525,-96.78313
56022,Darfur,MN,44.049908,-94.83877
55923,Chatfield,MN,43.84113,-92.1606
56062,Madelia,MN,44.045998,-94.4211
55760,Mcgregor,MN,46.67746,-93.28391
56338,Hillman,MN,46.035241,-93.9153
55676,Barnum,MN,46.471964,-92.687947
56343,Kensington,MN,45.795887,-95.66742
56547,Glyndon,MN,46.884481,-96.56301
55069,Rush City,MN,45.690784,-92.96843
55412,Minneapolis,MN,45.027715,-93.30337
56063,Madison Lake,MN,44.204121,-93.81923
55359,Maple Plain,MN,45.002212,-93.69319
56334,Glenwood,MN,45.609555,-95.35104
56587,Vergas,MN,46.64246,-95.83042
56628,Bigfork,MN,47.667203,-93.58773
55392,Navarre,MN,45.015914,-93.47188
56019,Comfrey,MN,44.11754,-94.88998
56573,Perham,MN,46.607429,-95.55911
56712,Angus,MN,48.071847,-96.74918
55936,Grand Meadow,MN,43.715085,-92.57812
56140,Ihlen,MN,43.907841,-96.36802
56523,Climax,MN,47.651391,-96.80408
56185,Wilmont,MN,43.783453,-95.82563
56434,Aldrich,MN,46.376819,-94.93781
56460,Itasca,MN,47.239049,-95.265379
55116,Saint Paul,MN,44.913815,-93.17459
55933,Elkton,MN,43.65099,-92.70596
56333,Gilman,MN,45.691714,-94.05629
55378,Savage,MN,44.761796,-93.3722
55941,Hokah,MN,43.756567,-91.36126
56754,Saint Hilaire,MN,48.011365,-96.20491
56721,East Grand Forks,MN,47.956458,-96.98774
56395,Saint Cloud,MN,45.52886,-94.593338
56736,Mentor,MN,47.702366,-96.1539
55011,Cedar,MN,45.335128,-93.27434
55564,Young America,MN,44.805487,-93.766524
56036,Glenville,MN,43.550747,-93.21987
56144,Jasper,MN,43.854184,-96.39022
56667,Puposky,MN,47.750406,-94.91254
56044,Henderson,MN,44.555899,-93.95354
56655,Longville,MN,46.975876,-94.21508
55420,Minneapolis,MN,44.837964,-93.27657
55919,Brownsville,MN,43.664102,-91.29057
55982,Waltham,MN,43.82009,-92.87749
55090,Willernie,MN,45.054666,-92.95703
56554,Lake Park,MN,46.861527,-96.10974
55599,Loretto,MN,45.015914,-93.47188
55812,Duluth,MN,46.809438,-92.07319
55339,Hamburg,MN,44.730662,-93.9577
55977,Taopi,MN,43.550714,-92.65902
55769,Nashwauk,MN,47.406731,-93.1645
56116,Beaver Creek,MN,43.621142,-96.3866
55187,Saint Paul,MN,45.005902,-93.105869
55354,Lester Prairie,MN,44.881515,-94.05846
55472,Minneapolis,MN,45.015914,-93.47188
55570,Maple Plain,MN,45.015914,-93.47188
55387,Waconia,MN,44.849912,-93.78514
55965,Preston,MN,43.646355,-92.12329
55978,West Albany,MN,44.301714,-92.178277
55406,Minneapolis,MN,44.938615,-93.22082
55025,Forest Lake,MN,45.272117,-92.9911
56728,Hallock,MN,48.787016,-96.95434
55084,Taylors Falls,MN,45.424065,-92.68321
56734,Lake Bronson,MN,48.732852,-96.63392
55047,Marine On Saint Croix,MN,45.195606,-92.81649
55367,New Germany,MN,44.886776,-93.97154
56295,Watson,MN,45.024344,-95.82794
56160,Odin,MN,43.847252,-94.77124
56432,Acton,MN,45.910946,-94.633724
56437,Bertha,MN,46.252854,-95.06222
56469,Palisade,MN,46.702947,-93.5203
55360,Mayer,MN,44.909362,-93.89981
56301,Saint Cloud,MN,45.526066,-94.20649
56630,Blackduck,MN,47.722624,-94.5319
55433,Minneapolis,MN,45.163848,-93.3195
55927,Dodge Center,MN,44.026272,-92.86903
56157,Lynd,MN,44.396043,-95.92771
55584,Monticello,MN,45.200875,-93.888099
56002,Mankato,MN,44.056047,-94.069828
56139,Holland,MN,44.092188,-96.18168
55439,Minneapolis,MN,44.875997,-93.37021
56560,Moorhead,MN,46.861413,-96.75367
55399,Young America,MN,44.805487,-93.766524
56068,Minnesota Lake,MN,43.848573,-93.81718
56032,Freeborn,MN,43.766208,-93.56339
56311,Barrett,MN,45.902998,-95.88297
56253,Lake Lillian,MN,44.959237,-94.88831
55581,Monticello,MN,45.200875,-93.888099
55951,Le Roy,MN,43.525845,-92.51616
55068,Rosemount,MN,44.732105,-93.13437
55561,Monticello,MN,44.805487,-93.766524
56072,New Richland,MN,43.899778,-93.53178
56502,Detroit Lakes,MN,46.933961,-95.678375
56524,Clitherall,MN,46.235125,-95.61543
56401,Brainerd,MN,46.352758,-94.16289
55344,Eden Prairie,MN,44.867013,-93.42557
56755,Saint Vincent,MN,48.954448,-97.13949
56303,Saint Cloud,MN,45.568516,-94.19251
56341,Holmes City,MN,45.830998,-95.541618
55563,Monticello,MN,44.805487,-93.766524
56080,Saint Clair,MN,44.080713,-93.85663
55906,Rochester,MN,44.064733,-92.44427
56231,Danvers,MN,45.27133,-95.7711
55416,Minneapolis,MN,44.946664,-93.34215
56326,Evansville,MN,46.011931,-95.68104
55425,Minneapolis,MN,44.846765,-93.2449
55756,Kerrick,MN,46.374991,-92.59795
56134,Hardwick,MN,43.783098,-96.22202
56152,Lamberton,MN,44.227021,-95.28014
56347,Long Prairie,MN,45.973572,-94.8582
56456,Jenkins,MN,46.650706,-94.33651
55391,Wayzata,MN,44.963063,-93.52912
55440,Minneapolis,MN,45.015914,-93.47188
55717,Canyon,MN,47.058166,-92.46078
55320,Clearwater,MN,45.387625,-94.0599
55188,Saint Paul,MN,45.005902,-93.105869
56687,Wilton,MN,47.501402,-94.99344
56396,Saint Cloud,MN,45.52886,-94.593338
55336,Glencoe,MN,44.773886,-94.17294
55079,Stacy,MN,45.403157,-93.02829
56711,Angle Inlet,MN,49.342144,-95.03571
56583,Tintah,MN,46.014161,-96.40019
56074,Nicollet,MN,44.331757,-94.19561
56126,Graham Lakes,MN,43.820313,-95.523182
56621,Bagley,MN,47.436583,-95.41337
55347,Eden Prairie,MN,44.831413,-93.46031
56483,Wadena,MN,46.439079,-95.137497
56030,Essig,MN,44.325833,-94.605226
56644,Gonvick,MN,47.755904,-95.5078
55778,Clark,MN,46.626514,-93.133317
55325,Dassel,MN,45.091115,-94.31758
55330,Elk River,MN,45.317152,-93.58117
55427,Minneapolis,MN,45.006764,-93.38223
55003,Bayport,MN,45.017767,-92.78039
55565,Monticello,MN,45.200875,-93.888099
56175,Tracy,MN,44.260625,-95.62371
56535,Erskine,MN,47.666426,-96.03701
56744,Oslo,MN,48.233942,-97.11882
55952,Lewiston,MN,43.959148,-91.84932
56060,Lewisville,MN,43.930032,-94.43935
55734,Eveleth,MN,47.4211,-92.51331
55710,Britt,MN,47.655096,-92.66189
56323,Cyrus,MN,45.63381,-95.72642
55448,Minneapolis,MN,45.186232,-93.29635
55973,Sargeant,MN,43.797677,-92.7799
56045,Hollandale,MN,43.762109,-93.18959
55052,Morristown,MN,44.232811,-93.43992
55309,Big Lake,MN,45.358004,-93.74294
55944,Kasson,MN,44.035512,-92.75013
55979,Utica,MN,43.93422,-91.95325
56146,Kanaranzi,MN,43.674883,-96.252794
56314,Bowlus,MN,45.814436,-94.42539
56590,Wendell,MN,46.033624,-96.13988
55032,Harris,MN,45.586488,-93.01179
55757,Kettle River,MN,46.512349,-92.92803
56228,Cosmos,MN,44.933861,-94.67563
56137,Heron Lake,MN,43.826163,-95.34591
55027,Goodhue,MN,44.408846,-92.63312
56335,Greenwald,MN,45.601429,-94.85864
55555,Young America,MN,44.805487,-93.766524
56327,Farwell,MN,45.778773,-95.60302
56237,Echo,MN,44.616243,-95.43173
56281,Prinsburg,MN,44.945831,-95.17628
55485,Minneapolis,MN,45.015914,-93.47188
56010,Amboy,MN,43.899907,-94.20634
56046,Hope,MN,43.955103,-93.274017
55921,Caledonia,MN,43.630012,-91.48667
56658,Margie,MN,48.27888,-93.755536
56339,Hoffman,MN,45.825031,-95.81104
56686,Williams,MN,48.786139,-94.91418
55332,Fairfax,MN,44.529702,-94.71718
55082,Stillwater,MN,45.054551,-92.82581
55103,Saint Paul,MN,44.964115,-93.12261
56453,Hewitt,MN,46.32091,-95.14567
55785,Swatara,MN,46.878205,-93.70721
56023,Delavan,MN,43.782104,-94.01341
55172,Saint Paul,MN,45.005902,-93.105869
55191,Saint Paul,MN,45.005902,-93.105869
55816,Duluth,MN,47.640367,-92.442797
55736,Floodwood,MN,46.929033,-92.90614
56384,Upsala,MN,45.80679,-94.57067
55767,Moose Lake,MN,46.44429,-92.7699
55972,Saint Charles,MN,43.977555,-92.06276
56128,Edgerton,MN,43.89387,-96.1285
56014,Bricelyn,MN,43.589604,-93.81676
55943,Houston,MN,43.769776,-91.57534
56232,Dawson,MN,44.932368,-96.04823
56354,Miltona,MN,46.063391,-95.28168
56325,Elrosa,MN,45.562459,-94.94661
56760,Viking,MN,48.232438,-96.44919
56118,Bingham Lake,MN,43.936146,-95.02938
55112,Saint Paul,MN,45.076365,-93.19335
55385,Stewart,MN,44.724926,-94.49346
56069,Montgomery,MN,44.429956,-93.56982
55402,Minneapolis,MN,44.975565,-93.27053
55020,Elko,MN,44.571365,-93.36011
55421,Minneapolis,MN,45.050434,-93.25007
55920,Byron,MN,44.024835,-92.6388
55401,Minneapolis,MN,44.984615,-93.27137
56758,Strandquist,MN,48.472648,-96.5018
55030,Grasston,MN,45.842603,-93.11924
56466,Motley,MN,46.362398,-94.63849
56661,Northome,MN,47.821937,-94.18727
55106,Saint Paul,MN,44.967565,-93.05001
55343,Hopkins,MN,44.921599,-93.40857
56321,Collegeville,MN,45.578278,-94.419941
56296,Wheaton,MN,45.823795,-96.47706
56470,Park Rapids,MN,46.974221,-95.06581
56016,Clarks Grove,MN,43.764506,-93.33357
56461,Laporte,MN,47.260013,-94.84475
56510,Ada,MN,47.322444,-96.51915
56508,Lake Eunice,MN,46.732051,-95.997757
56601,Bemidji,MN,47.504496,-94.87105
56226,Clontarf,MN,45.409218,-95.69334
56567,New York Mills,MN,46.534993,-95.38106
55719,Chisholm,MN,47.509833,-92.87637
55374,Rogers,MN,45.197646,-93.57104
56678,Solway,MN,47.508863,-95.11397
55589,Monticello,MN,45.200875,-93.888099
56738,Newfolden,MN,48.348745,-96.32534
55377,Santiago,MN,45.540181,-93.815434
55784,Swan River,MN,47.061875,-93.20456
55572,Maple Plain,MN,45.015914,-93.47188
56556,Mcintosh,MN,47.656231,-95.88214
56218,Boyd,MN,44.838823,-95.94042
56363,Pease,MN,45.697362,-93.646503
56257,Marietta,MN,44.986761,-96.40968
55959,Minnesota City,MN,44.093056,-91.74422
55550,Young America,MN,44.805487,-93.766524
55071,Saint Paul Park,MN,44.835366,-92.99254
55108,Saint Paul,MN,44.982515,-93.17489
56561,Moorhead,MN,46.890034,-96.506156
56135,Powers,MN,46.829136,-94.430518
56447,Emily,MN,46.735697,-93.94205
55301,Albertville,MN,45.237867,-93.66261
56315,Brandon,MN,45.968739,-95.5942
55580,Monticello,MN,45.200875,-93.888099
55329,Eden Valley,MN,45.321197,-94.56778
56110,Adrian,MN,43.626278,-95.93973
56761,Wannaska,MN,48.609478,-95.6602
55155,Saint Paul,MN,44.952165,-93.095518
55612,Lutsen,MN,47.757804,-90.63836
55790,Tower,MN,47.825059,-92.3247
56244,Hancock,MN,45.488399,-95.78157
56562,Moorhead,MN,46.890034,-96.506156
56236,Dumont,MN,45.664974,-96.39608
56328,Flensburg,MN,45.953535,-94.52834
56187,Worthington,MN,43.623255,-95.59604
56357,Oak Park,MN,45.699995,-93.80256
56725,Goodridge,MN,48.128712,-95.82013
56398,Saint Cloud,MN,45.52886,-94.593338
55395,Winsted,MN,44.960829,-94.05525
56245,Hanley Falls,MN,44.690608,-95.65028
56551,Henning,MN,46.31855,-95.45375
55598,Loretto,MN,45.015914,-93.47188
55428,Minneapolis,MN,45.059997,-93.37702
56035,Geneva,MN,43.819798,-93.26713
56579,Rothsay,MN,46.459359,-96.34149
56243,Grove City,MN,45.168724,-94.68641
55009,Cannon Falls,MN,44.493575,-92.89402
55380,Silver Creek,MN,45.315823,-93.979766
56033,Frost,MN,43.579548,-93.93826
55795,Willow River,MN,46.317812,-92.84315
56570,Osage,MN,46.895156,-95.36174
55092,Wyoming,MN,45.329115,-93.06834
55706,Babbitt,MN,47.688083,-91.91856
56464,Menahga,MN,46.770167,-95.09659
56557,Mahnomen,MN,47.330624,-95.87672
55772,Nett Lake,MN,48.081686,-93.083438
55345,Minnetonka,MN,44.915413,-93.48443
56441,Crosby,MN,46.528094,-93.98055
56639,Effie,MN,47.852874,-93.50758
55366,New Auburn,MN,44.673454,-94.229311
56545,Gary,MN,47.363986,-96.2396
55991,Zumbro Falls,MN,44.24431,-92.41336
55124,Saint Paul,MN,44.743963,-93.20624
55486,Minneapolis,MN,45.015914,-93.47188
55488,Minneapolis,MN,45.015914,-93.47188
56084,Searles,MN,44.302893,-94.738827
56729,Halma,MN,48.655487,-96.59592
55379,Shakopee,MN,44.776138,-93.52556
55303,Anoka,MN,45.247509,-93.418
55922,Canton,MN,43.569417,-91.90736
56167,Round Lake,MN,43.536338,-95.38554
55175,Saint Paul,MN,45.005902,-93.105869
55312,Brownton,MN,44.723259,-94.33922
56649,International Falls,MN,48.579947,-93.38142
56748,Plummer,MN,47.915369,-96.02739
56294,Wanda,MN,44.317104,-95.21378
55484,Minneapolis,MN,45.015914,-93.47188
56458,Lake George,MN,47.206754,-94.97109
56474,Pine River,MN,46.718997,-94.38716
56549,Hawley,MN,46.864977,-96.30781
56166,Revere,MN,44.2127,-95.3633
55146,Saint Paul,MN,44.942656,-93.082793
55190,Saint Paul,MN,45.005902,-93.105869
55182,Saint Paul,MN,45.005902,-93.105869
55189,Saint Paul,MN,45.005902,-93.105869
56673,Roosevelt,MN,48.730013,-95.09004
56449,Fort Ripley,MN,46.166054,-94.29254
56735,Lancaster,MN,48.892011,-96.68027
55342,Hector,MN,44.74323,-94.72447
56170,Ruthton,MN,44.17521,-96.07363
55792,Virginia,MN,47.527383,-92.53371
56048,Janesville,MN,44.102188,-93.71255
